rank_id,conhesshn_gl,conhesshn_step,conpass_gl,conpass_step,consolidated_salary_per_annum,monthly_consolidated_salary,non_clinic_allowance,call_duty,hazard_allowance,gross_emolument,tax,nhf,pension,total_deduction,net_pay
9,9,1,10,1,1305688,108807.33,7986,10648,5000,132441.33,11121.19,2720.18,8160.55,22001.92,110439.41
9,9,2,10,2,1342232,111852.67,8248.5,10998,5000,136099.17,11459.92,2796.32,8388.95,22645.19,113453.98
9,9,3,10,3,1384510,115375.83,8511.08,11348,5000,140234.92,11798.66,2884.4,8653.19,23336.24,116898.67
9,9,4,10,4,1426787,118898.92,8773.75,11698,5000,144370.67,12137.4,2972.47,8917.42,24027.29,120343.38
9,9,5,10,5,1469065,122422.08,9036.58,12049,5000,148507.67,12476.13,3060.55,9181.66,24718.34,123789.33
9,9,6,10,6,1511343,125945.25,9298.67,12398,5000,152641.92,12814.87,3148.63,9445.89,25409.4,127232.52
9,9,7,10,7,1553621,129468.42,9561.25,12748,5000,156777.67,13153.6,3236.71,9710.13,26100.44,130677.23
9,9,8,10,8,1595898,132991.5,9823.75,13098,5000,160913.25,13492.33,3324.79,9974.36,26791.48,134121.77
9,9,9,10,9,1638176,136514.67,10086.5,13448,5000,165049.17,13831.08,3412.87,10238.6,27482.55,137566.62
9,9,10,10,10,1680454,140037.83,10349.33,13799,5000,169186.17,14169.81,3500.95,10502.84,28173.59,141012.57
9,9,11,10,11,1722731,143560.92,10611.33,14148,5000,173320.25,0,3589.02,10767.07,14356.09,158964.16
9,9,12,10,12,1765009,147084.08,10873.5,14499,5000,177456.58,0,3677.1,11031.31,14708.41,162748.18
9,9,13,10,13,1807287,150607.25,11136.42,14849,5000,181592.67,0,3765.18,11295.54,15060.73,166531.94
9,9,14,10,14,1849564,154130.33,11399.25,15199,5000,185728.58,0,3853.26,11559.78,15413.03,170315.55
9,9,15,10,15,1891842,157653.5,11661.5,15549,5000,189864,0,3941.34,11824.01,15765.35,174098.65
8,10,1,11,1,1551786,129315.5,9213.25,12284,5000,155812.75,12920.14,3232.89,9698.66,25851.69,129961.06
8,10,2,11,2,1590117,132509.75,9620.67,12828,5000,159958.42,13445.55,3312.74,9938.23,26696.53,133261.89
8,10,3,11,3,1628448,135704,10028,13371,5000,164103,13970.95,3392.6,10177.8,27541.35,136561.65
8,10,4,11,4,1666779,138898.25,10434.75,13913,5000,168246,14496.36,3472.46,10417.37,28386.19,139859.82
8,10,5,11,5,1705109,142092.42,10842,14456,5000,172390.42,15021.76,3552.31,10656.93,29231,143159.42
8,10,6,11,6,1743440,145286.67,11249.33,14999,5000,176535,15547.18,3632.17,10896.5,30075.85,146459.15
8,10,7,11,7,1781771,148480.92,11656.5,15542,5000,180679.42,16072.57,3712.02,11136.07,30920.66,149758.76
8,10,8,11,8,1820102,151675.17,12063.75,16085,5000,184823.92,16597.99,3791.88,11375.64,31765.51,153058.41
8,10,9,11,9,1858482,154873.5,12470.92,16628,5000,188972.42,0,3871.84,11615.51,15487.35,173485.07
8,10,10,11,10,1896763,158063.58,12878.17,17171,5000,193112.75,0,3951.59,11854.77,15806.36,177306.39
8,10,11,11,11,1935094,161257.83,13285.42,17714,5000,197257.25,0,4031.45,12094.34,16125.78,181131.47
7,11,1,12,1,1845557,153796.42,10300.33,13734,5000,182830.75,14413.14,3844.91,11534.73,29792.78,153037.97
7,11,2,12,2,1887305,157275.42,10731.42,14309,5000,187315.83,14968.65,3931.89,11795.66,30696.19,156619.64
