rank_id,conhessp_gl,conhessp_step,conpass_gl,conpass_step,consolidated_salary_per_annum,monthly_consolidated_salary,non_clinic_allowance,call_duty,hazard_allowance,gross_emolument,tax,nhf,pension,total_deduction,net_pay
8,10,1,11,1,1551786,129315.5,25200,33600,5000,193115.5,12920.14,3232.89,9698.66,25851.69,167263.81
8,10,2,11,2,1590117,132509.75,26310,35080,5000,198899.75,13445.55,3312.74,9938.23,26696.53,172203.23
8,10,3,11,3,1628448,135704,27420,36560,5000,204684,13970.95,3392.6,10177.8,27541.35,177142.65
8,10,4,11,4,1666779,138898.25,28530,38040,5000,210468.25,14496.36,3472.46,10417.37,28386.19,182082.07
8,10,5,11,5,1705109,142092.42,29640,39520,5000,216252.42,15021.76,3552.31,10656.93,29231,187021.42
8,10,6,11,6,1743440,145286.67,30750,41000,5000,222036.67,15547.18,3632.17,10896.5,30075.85,191960.82
8,10,7,11,7,1781771,148480.92,31860,42480,5000,227820.92,16072.57,3712.02,11136.07,30920.66,196900.26
8,10,8,11,8,1820102,151675.17,32970,43960,5000,233605.17,16597.99,3791.88,11375.64,31765.51,201839.66
8,10,9,11,9,1858482,154873.5,34080,45440,5000,239393.5,0,3871.84,11615.51,15487.35,223906.15
8,10,10,11,10,1896763,158063.58,35190,46920,5000,245173.58,0,3951.59,11854.77,15806.36,229367.23
8,10,11,11,11,1935094,161257.83,36330,48440,5000,251027.83,0,4031.45,12094.34,16125.78,234902.05
7,11,1,12,1,1845557,153796.42,28170,37560,5000,224526.42,14413.14,3844.91,11534.73,29792.78,194733.64
7,11,2,12,2,1887305,157275.42,29340,39120,5000,230735.42,14968.65,3931.89,11795.66,30696.19,200039.23
7,11,3,12,3,1929053,160754.42,30510,40680,5000,236944.42,15524.14,4018.86,12056.58,31599.58,205344.84
7,11,4,12,4,1970800,164233.33,31680,42240,5000,243153.33,16079.62,4105.83,12317.5,32502.95,210650.38
7,11,5,12,5,2012548,167712.33,32850,43800,5000,249362.33,16635.12,4192.81,12578.43,33406.35,215955.98
7,11,6,12,6,2054296,171191.33,34050,45400,5000,255641.33,17190.59,4279.78,12839.35,34309.72,221331.61
