rank_id,conmess_gl,conmess_step,conpass_gl,conpass_step,consolidated_salary_per_annum,monthly_consolidated_salary,non_clinic_allowance,call_duty,hazard_allowance,gross_emolument,tax,nhf,pension,total_deduction,net_pay
8,2,1,11,1,1551786,129315.5,50350.25,67160,5000,251825.75,12920.14,3232.89,9698.66,25851.69,225974.06
8,2,2,11,2,1590117,132509.75,52575.83,70120,5000,260205.58,13445.55,3312.74,9938.23,26696.53,233509.06
8,2,3,11,3,1628448,135704,54801.42,73080,5000,268585.42,13970.95,3392.6,10177.8,27541.35,241044.07
8,2,4,11,4,1666779,138898.25,57027,76040,5000,276965.25,14496.36,3472.46,10417.37,28386.19,248579.07
8,2,5,11,5,1705109,142092.42,59252.67,79000,5000,285345.08,15021.76,3552.31,10656.93,29231,256114.08
8,2,6,11,6,1743440,145286.67,61478.25,81960,5000,293724.92,15547.18,3632.17,10896.5,30075.85,263649.07
8,2,7,11,7,1781771,148480.92,63703.83,84920,5000,302104.75,16072.57,3712.02,11136.07,30920.66,271184.09
8,2,8,11,8,1820102,151675.17,65929.42,87920,5000,310524.58,16597.99,3791.88,11375.64,31765.51,278759.08
8,2,9,11,9,1858432,154869.33,68155,90880,5000,318904.33,0,3871.73,11615.2,15486.93,303417.4
8,2,10,11,10,1896763,158063.58,70380.58,93840,5000,327284.17,0,3951.59,11854.77,15806.36,311477.81
8,2,11,11,11,1935094,161257.83,72640,96840,5000,335737.83,0,4031.45,12094.34,16125.78,319612.05
7,3,1,12,1,1845557,153796.42,56292.5,75080,5000,290168.92,14413.14,3844.91,11534.73,29792.78,260376.14
7,3,2,12,2,1887305,157275.42,58645.58,78200,5000,299121,14968.65,3931.89,11795.66,30696.19,268424.81
7,3,3,12,3,1929053,160754.42,60998.58,81320,5000,308073,15524.14,4018.86,12056.58,31599.58,276473.42
7,3,4,12,4,1970800,164233.33,63351.67,84480,5000,317065,16079.62,4105.83,12317.5,32502.95,284562.05
7,3,5,12,5,2012548,167712.33,65704.75,87600,5000,326017.08,16635.12,4192.81,12578.43,33406.35,292610.73
7,3,6,12,6,2054296,171191.33,68057.75,90760,5000,335009.08,17190.59,4279.78,12839.35,34309.72,300699.36
7,3,7,12,7,2096044,174670.33,70410.83,93880,5000,343961.17,17746.08,4366.76,13100.28,35213.11,308748.05
7,3,8,12,8,2137792,178149.33,72763.92,97000,5000,352913.25,18301.58,4453.73,13361.2,36116.51,316796.74
7,3,9,12,9,2179540,181628.33,68155,90880,5000,345663.33,0,4540.71,13622.13,18162.83,327500.5
7,3,10,12,10,2221288,185107.33,70380.58,93840,5000,354327.92,0,4627.68,13883.05,18510.73,335817.18
7,3,11,12,11,2263037,188586.42,72640,96840,5000,363066.42,0,4714.66,14143.98,18858.64,344207.78
6,4,1,13,1,2193425,182785.42,62262.33,83040,5000,333087.75,15974.65,4569.64,13708.91,34253.19,298834.56
6,4,2,13,2,2251604,187633.67,64795.5,86400,5000,343829.17,16573.02,4690.84,14072.53,35336.39,308492.78
6,4,3,13,3,2309783,192481.92,67328.67,89760,5000,354570.58,17171.08,4812.05,14436.14,36419.27,318151.31
6,4,4,13,4,2367963,197330.25,69861.83,93160,5000,365352.08,17769.13,4933.26,14799.77,37502.16,327849.93
6,4,5,13,5,2426142,202178.5,72395,96520,5000,376093.5,18367.2,5054.46,15163.39,38585.05,337508.45
6,4,6,13,6,2484321,207026.75,74928.17,99920,5000,386874.92,18996.69,5175.67,15527.01,39699.37,347175.55
6,4,7,13,7,2542500,211875,77461.33,103280,5000,397616.33,19657.71,5296.88,15890.63,40845.21,356771.12
6,4,8,13,8,2600679,216723.25,79994.5,106680,5000,408397.75,20318.72,5418.08,16254.24,41991.05,366406.71
6,4,9,13,9,2658859,221571.58,82527.67,110040,5000,419139.25,0,5539.29,16617.87,22157.16,94602.84
6,4,10,13,10,2717038,226419.83,85060.92,113400,5000,429880.75,0,5660.5,16981.49,22641.98,407238.77
6,4,11,13,11,2775217,231268.08,87560,116760,5000,440588.08,0,5781.7,17345.11,23126.81,417461.28
5,5,1,14,1,2775426,231285.5,68960.33,91960,5000,397205.83,24997.5,5782.14,17346.41,48126.05,349079.78
5,5,2,14,2,2858442,238203.5,72347.92,96480,5000,412031.42,25931.25,5955.09,17865.26,49751.6,362279.82
5,5,3,14,3,2941458,245121.5,75735.58,101000,5000,426857.08,26865.03,6128.04,18384.11,51377.18,375479.9
5,5,4,14,4,3024474,252039.5,79123.17,105480,5000,441642.67,27798.81,6300.99,18902.96,53002.76,388639.91
5,5,5,14,5,3107490,258957.5,82510.75,110000,5000,456468.25,28732.57,6473.94,19421.81,54628.32,401839.93
5,5,6,14,6,3190506,265875.5,85898.33,114520,5000,471293.83,29666.36,6646.89,19940.66,56253.91,415039.92
5,5,7,14,7,3273522,272793.5,89286,119040,5000,486119.5,30600.12,6819.84,20459.51,57879.47,428240.03
5,5,8,14,8,3356538,279711.5,92673.58,123560,5000,500945.08,0,6992.79,20978.36,27971.15,472973.93
5,5,9,14,9,3439555,286629.58,96040,128040,5000,515709.58,0,7165.74,21497.22,28662.96,487046.63
4,6,1,15,1,3419418,284951.5,76273.42,101720,5000,467944.92,28732.42,7123.79,21371.36,57227.57,410717.35
