rank_id,gl,step,salary_per_annum_with_shift,salary_per_annum,monthly_salary,monthly_rent,shift_duty_allowance,domestic_servant,gross_emolument,tax,pension,nhf,total_deduction,net_pay
16,3,1,543224.00,468619.00,39051.58,4828.00,2289.08,,46168.66,1051.50,2928.87,976.29,4956.66,41212.01
16,3,2,550730.00,474040.00,39503.33,4974.67,2316.17,,46794.17,1082.15,2962.75,987.58,5032.48,41761.69
16,3,3,558238.00,479462.00,39955.17,5121.33,2343.33,,47419.83,1112.81,2996.64,998.88,5108.33,42311.50
16,3,4,565746.00,484884.00,40407.00,5268.08,2370.42,,48045.50,1143.46,3030.53,1010.18,5184.16,42861.34
16,3,5,573252.00,490305.00,40858.75,5414.75,2397.50,,48671.00,1174.11,3064.41,1021.47,5259.99,43411.02
16,3,6,580760.00,495727.00,41310.58,5561.42,2424.67,,49296.67,1204.77,3098.29,1032.76,5335.83,43960.85
16,3,7,588266.00,501148.00,41762.33,5708.08,2451.75,,49922.16,1235.42,3132.18,1044.06,5411.65,44510.51
16,3,8,595773.00,506570.00,42214.17,5854.75,2478.83,,50547.75,1266.07,3166.06,1055.35,5487.49,45060.26
16,3,9,603282.00,511992.00,42666.00,6001.50,2506.00,,51173.50,1296.73,3199.95,1066.65,5563.33,45610.17
16,3,10,610788.00,517413.00,43117.75,6148.17,2533.08,,51799.00,1327.38,3233.83,1077.94,5639.16,46159.85
15,4,1,561262.00,481646.00,40137.17,5180.50,2354.25,,47671.92,1125.15,3010.29,1003.43,5138.87,42533.05
15,4,2,570282.00,488160.00,40680.00,5356.67,2386.83,,48423.50,1161.98,3051.00,1017.00,5229.98,43193.52
15,4,3,579300.00,494673.00,41222.75,5532.92,2419.33,,49175.00,1198.81,3091.71,1030.57,5321.09,43853.92
15,4,4,588320.00,501187.00,41765.58,5709.17,2451.92,,49926.67,1235.64,3132.42,1044.14,5412.20,44514.48
15,4,5,597338.00,507700.00,42308.33,5885.33,2484.50,,50678.16,1272.46,3173.13,1057.71,5503.29,45174.87
15,4,6,606358.00,514214.00,42851.17,6061.58,2517.08,,51429.83,1309.30,3213.84,1071.28,5594.42,45835.41
15,4,7,615378.00,520728.00,43394.00,6237.83,2549.67,,52181.50,1346.13,3254.55,1084.85,5685.53,46495.97
15,4,8,624396.00,527241.00,43936.75,6414.08,2582.17,,52933.00,1382.95,3295.26,1098.42,5776.63,47156.38
15,4,9,633415.00,533755.00,44479.58,6590.25,2614.75,,53684.58,1419.78,3335.97,1111.99,5867.74,47816.85
15,4,10,642435.00,540269.00,45022.42,6766.50,2647.33,,54436.25,1456.61,3376.68,1125.56,5958.85,48477.40
14,5,1,609795.00,516696.00,43058.00,6128.75,2529.50,,51716.25,1323.33,3229.35,1076.45,5629.13,46087.12
14,5,2,620273.00,524263.00,43688.58,6333.50,2567.33,,52589.41,1366.11,3276.64,1092.21,5734.97,46854.45
14,5,3,630751.00,531830.00,44319.17,6538.25,2605.17,,53462.59,1408.90,3323.94,1107.98,5840.82,47621.77
14,5,4,641229.00,539397.00,44949.75,6743.00,2643.00,,54335.75,1451.69,3371.23,1123.74,5946.67,48389.09
